iteration, x
0, 0.0
1, 0.01998085725694443
2, 0.03992348996793765
3, 0.05982800097817073
4, 0.07969444627626363
5, 0.09952286912005211
6, 0.11931338526943931
7, 0.13906594827676633
8, 0.15878080639068196
9, 0.17845785734857428
10, 0.19809729306896098
11, 0.217699126422395
12, 0.23726338582757608
13, 0.25679022604156154
14, 0.27627966963330997
15, 0.2957317820971107
16, 0.3151466289272531
17, 0.33452431177536285
18, 0.35386489401426346
19, 0.37316844211133005
20, 0.39243502772262934
21, 0.41166472592640885
22, 0.43085762414988943
23, 0.45001378718143664
24, 0.46913328879051786
25, 0.4882162027466009
26, 0.5072625857533172
27, 0.5262725026020594
28, 0.545246032186683
29, 0.5641832449094536
30, 0.5830842111726362
31, 0.6019490013784963
32, 0.6207776859292992
33, 0.6395703352273101
34, 0.6583270196747942
35, 0.6770478045271755
36, 0.6957327523854038
37, 0.7143819408161203
38, 0.7329954395827479
39, 0.7515733184487094
40, 0.7701156471774272
41, 0.7886224955323241
42, 0.8070939332768228
43, 0.8255300285444832
44, 0.8439308053641756
45, 0.862296364632575
46, 0.8806267744332923
47, 0.8989221028499381
48, 0.9171824179661234
49, 0.9354077878654591
50, 0.9535982806315558
51, 0.9717539643480244
52, 0.9898748867846318
53, 1.0079611201793697
54, 1.0260127380119433
55, 1.0440298072938727
56, 1.0620123950366782
57, 1.0799605682518798
58, 1.0978743939509976
59, 1.1157539391455518
60, 1.1335992602165232
61, 1.1514104129090428
62, 1.1691874759494156
63, 1.1869305153021203
64, 1.204639596931637
65, 1.2223147868024444
66, 1.2399561508790218
67, 1.2575637551258487
68, 1.2751376632513702
69, 1.2926779171057574
70, 1.310184599475392
71, 1.3276577753100165
72, 1.3450975095593727
73, 1.3625038671732022
74, 1.3798769131012467
75, 1.3972167122932486
76, 1.414523329698949
77, 1.4317968151778127
78, 1.4490372369581097
79, 1.4662446618552063
80, 1.483419153137023
81, 1.5005607739574767
82, 1.5176695873564805
83, 1.534745656259943
84, 1.551789043479769
85, 1.5687998117138588
